,model,size,precision,recall,F1,accuracy
0,svm,50,0.7890487699202178,0.7591458503773427,0.7738025334361662,0.7801250000000001
0,svm,100,0.8032848944384783,0.7790383987555167,0.790961989875002,0.7940875000000001
0,svm,320,0.8251540246631063,0.7886469188897903,0.8064857412144099,0.8112109375
0,svm,all,0.8339900234563874,0.8195553463098335,0.826709035496051,0.8280808953020202
